Date,Open,High,Low,Close,Adj Close,Volume,Amount
2017-01-03,6.360000133514404,6.367499828338623,6.255000114440918,6.34250020980835,5.157936096191406,7765600,49165955.555438995
2017-01-04,6.394999980926514,6.512499809265137,6.394999980926514,6.480000019073486,5.269755840301514,8977200,57863664.27912712
2017-01-05,6.389999866485596,6.389999866485596,6.224999904632568,6.25,5.082711696624756,12150800,76717112.39914894
2017-01-06,6.287499904632568,6.292500019073486,6.125,6.130000114440918,4.985123634338379,9334400,57954956.089019775
2017-01-09,6.150000095367432,6.164999961853027,6.082499980926514,6.122499942779541,4.9790239334106445,6586800,40377083.96859169
2017-01-10,6.130000114440918,6.275000095367432,6.110000133514404,6.159999847412109,5.009520530700684,8972400,55348492.92783737
2017-01-11,6.184999942779541,6.28249979019165,6.125,6.152500152587891,5.003421783447266,10173600,62936432.70893097
2017-01-12,6.152500152587891,6.235000133514404,6.144999980926514,6.179999828338623,5.025785446166992,10572800,65320080.252075195
2017-01-13,5.572500228881836,5.797500133514404,5.567500114440918,5.682499885559082,4.621201515197754,59295600,335316623.3721256
2017-01-17,5.684999942779541,5.9375,5.670000076293945,5.835000038146973,4.745220184326172,19933600,115253583.78515244
2017-01-18,5.824999809265137,5.90500020980835,5.724999904632568,5.872499942779541,4.775715351104736,8723600,50874944.458818436
2017-01-19,5.882500171661377,5.922500133514404,5.795000076293945,5.827499866485596,4.739120006561279,8009600,46911226.49650574
2017-01-20,5.864999771118164,5.90749979019165,5.832499980926514,5.894999980926514,4.794013023376465,10264400,60303348.77638817
2017-01-23,5.917500019073486,6.0,5.862500190734863,5.982500076293945,4.865172386169434,8745200,51951954.37550545
2017-01-24,5.985000133514404,6.037499904632568,5.929999828338623,5.96750020980835,4.852973937988281,11402400,68186352.21748352
2017-01-25,6.0,6.054999828338623,5.982500076293945,6.042500019073486,4.913965702056885,7550800,45455815.85597992
2017-01-26,6.0625,6.172500133514404,6.03000020980835,6.054999828338623,4.924130916595459,12641200,76858496.54250145
2017-01-27,6.070000171661377,6.125,5.989999771118164,6.077499866485596,4.9424285888671875,10677600,64766316.990852356
2017-01-30,6.03000020980835,6.057499885559082,5.962500095367432,6.045000076293945,4.915998935699463,6925200,41715673.96230698
2017-01-31,5.994999885559082,6.135000228881836,5.965000152587891,6.122499942779541,4.9790239334106445,6387600,38672926.08504295
2017-02-01,6.122499942779541,6.159999847412109,6.019999980926514,6.074999809265137,4.940395832061768,7011600,42731319.01445389
2017-02-02,6.097499847412109,6.144999980926514,6.067500114440918,6.09499979019165,4.956660270690918,6607200,40312178.558921814
2017-02-03,6.087500095367432,6.224999904632568,6.070000171661377,6.184999942779541,5.029850959777832,8970800,55097532.50665665
2017-02-06,6.184999942779541,6.237500190734863,6.130000114440918,6.170000076293945,5.017653465270996,6818400,42141974.0527153
2017-02-07,6.175000190734863,6.25,6.127500057220459,6.15749979019165,5.0074872970581055,8718400,53857916.08314514
2017-02-08,6.147500038146973,6.215000152587891,6.135000228881836,6.197500228881836,5.040017127990723,5553600,34286538.900375366
2017-02-09,6.197500228881836,6.349999904632568,6.1875,6.347499847412109,5.162002086639404,5953200,37330284.72161293
2017-02-10,6.380000114440918,6.4375,6.322500228881836,6.414999961853027,5.216895580291748,6084000,38869155.46417236
2017-02-13,6.4375,6.462500095367432,6.324999809265137,6.34250020980835,5.157936096191406,5883200,37604679.1683197
2017-02-14,6.317500114440918,6.46750020980835,6.3125,6.434999942779541,5.23315954208374,6170800,39388988.16194534
2017-02-15,6.4375,6.519999980926514,6.385000228881836,6.445000171661377,5.241292476654053,8586800,55358027.06890106
2017-02-16,6.425000190734863,6.46999979019165,6.324999809265137,6.355000019073486,5.1681013107299805,7183200,45927584.65747833
2017-02-17,6.34250020980835,6.402500152587891,6.322500228881836,6.392499923706055,5.198597431182861,4966800,31613682.639455795
2017-02-21,6.460000038146973,6.5625,6.4375,6.554999828338623,5.330748081207275,10881200,70768604.13680077
2017-02-22,6.550000190734863,6.574999809265137,6.505000114440918,6.565000057220459,5.33888053894043,5510800,36088851.73649788
2017-02-23,6.579999923706055,6.585000038146973,6.380000114440918,6.389999866485596,5.196564674377441,9848800,63857156.859111786
2017-02-24,6.387499809265137,6.625,6.362500190734863,6.570000171661377,5.342947006225586,7966800,51674656.841897964
2017-02-27,6.552499771118164,6.670000076293945,6.420000076293945,6.630000114440918,5.391740798950195,9205200,60460904.33778763
2017-02-28,6.582499980926514,6.582499980926514,5.892499923706055,6.110000133514404,4.9688591957092285,31031600,195246948.3979702
2017-03-01,6.142499923706055,6.232500076293945,6.070000171661377,6.119999885559082,4.976990699768066,13366000,82083947.69120216
2017-03-02,6.117499828338623,6.275000095367432,6.112500190734863,6.244999885559082,5.078645706176758,9901600,61266150.0
2017-03-03,6.264999866485596,6.329999923706055,6.252500057220459,6.320000171661377,5.139638423919678,7311600,46003673.284864426
2017-03-06,6.320000171661377,6.324999809265137,6.177499771118164,6.227499961853027,5.064414024353027,9102400,57003779.34894562
2017-03-07,6.197500228881836,6.21750020980835,6.105000019073486,6.167500019073486,5.01561975479126,9258400,57141688.60368729
2017-03-08,6.1875,6.292500019073486,6.152500152587891,6.25,5.082711696624756,9521600,59230303.40862274
2017-03-09,6.25,6.309999942779541,6.204999923706055,6.25,5.082711696624756,9594800,60003480.179739
2017-03-10,6.175000190734863,6.324999809265137,6.15749979019165,6.295000076293945,5.19832181930542,12197600,76090153.09286118
2017-03-13,6.192500114440918,6.199999809265137,6.027500152587891,6.047500133514404,4.993939399719238,15760400,96404397.57666588
2017-03-14,6.045000076293945,6.159999847412109,6.0,6.139999866485596,5.070324897766113,7399200,45033380.611896515
2017-03-15,6.164999961853027,6.195000171661377,6.074999809265137,6.167500019073486,5.093033790588379,11586000,71261141.1395073
2017-03-16,6.147500038146973,6.150000095367432,6.010000228881836,6.065000057220459,5.008391380310059,12534000,76371230.06486893
2017-03-17,6.072500228881836,6.167500019073486,6.050000190734863,6.159999847412109,5.086840629577637,21716400,132741496.55327797
2017-03-20,6.164999961853027,6.210000038146973,5.940000057220459,5.96999979019165,4.929940700531006,16464800,99961916.37191772
2017-03-21,6.007500171661377,6.034999847412109,5.852499961853027,6.002500057220459,4.9567790031433105,11402000,68119823.85873795
2017-03-22,6.005000114440918,6.027500152587891,5.940000057220459,6.022500038146973,4.973295211791992,8168000,48997790.74001312
2017-03-23,6.037499904632568,6.110000133514404,5.949999809265137,5.989999771118164,4.946457386016846,18648800,112300740.72151184
2017-03-24,5.34250020980835,5.389999866485596,5.164999961853027,5.175000190734863,4.273441791534424,63778400,335992587.1494293
2017-03-27,5.082499980926514,5.272500038146973,5.059999942779541,5.212500095367432,4.304408550262451,27849200,143614843.648386
2017-03-28,5.21999979019165,5.445000171661377,5.182499885559082,5.429999828338623,4.4840168952941895,17114400,91037910.11266708
2017-03-29,5.445000171661377,5.534999847412109,5.392499923706055,5.487500190734863,4.531499862670898,13033200,71226438.43502998
2017-03-30,5.474999904632568,5.622499942779541,5.465000152587891,5.614999771118164,4.636786937713623,8888000,49278404.49142456
2017-03-31,5.614999771118164,5.684999942779541,5.59250020980835,5.637499809265137,4.655367374420166,11736800,66107525.21648407
2017-04-03,5.630000114440918,5.65500020980835,5.480000019073486,5.5,4.54182243347168,10836400,60318112.43009567
2017-04-04,5.485000133514404,5.552499771118164,5.434999942779541,5.494999885559082,4.537693500518799,8948000,49141296.902656555
2017-04-05,5.547500133514404,5.572500228881836,5.434999942779541,5.440000057220459,4.492275714874268,8675600,47704956.286001205
2017-04-06,5.489999771118164,5.542500019073486,5.434999942779541,5.460000038146973,4.508790493011475,13184800,72277424.74555969
2017-04-07,5.454999923706055,5.505000114440918,5.394999980926514,5.414999961853027,4.471630096435547,15018000,81735464.9283886
2017-04-10,5.400000095367432,5.53000020980835,5.389999866485596,5.46999979019165,4.517048358917236,9381200,51104086.910533905
2017-04-11,5.449999809265137,5.537499904632568,5.420000076293945,5.527500152587891,4.564531326293945,10873600,59628103.844451904
2017-04-12,5.545000076293945,5.545000076293945,5.46750020980835,5.517499923706055,4.556273937225342,7532400,41569433.03875923
2017-04-13,5.514999866485596,5.610000133514404,5.494999885559082,5.59499979019165,4.620272159576416,14654400,81386872.81208038
2017-04-17,5.612500190734863,5.737500190734863,5.599999904632568,5.722499847412109,4.725559711456299,14218000,80589401.72457695
2017-04-18,5.710000038146973,5.744999885559082,5.652500152587891,5.710000038146973,4.715237140655518,7945200,45322400.477313995
2017-04-19,5.730000019073486,5.78249979019165,5.690000057220459,5.695000171661377,4.702850818634033,6722000,38479248.81410599
2017-04-20,5.737500190734863,5.857500076293945,5.737500190734863,5.797500133514404,4.7874932289123535,7626400,44099659.12733078
2017-04-21,5.809999942779541,5.817500114440918,5.735000133514404,5.797500133514404,4.7874932289123535,7064800,40905192.57268906
2017-04-24,5.849999904632568,5.872499942779541,5.739999771118164,5.804999828338623,4.793686389923096,10865600,63203835.49747467
2017-04-25,5.829999923706055,5.872499942779541,5.775000095367432,5.849999904632568,4.830847263336182,5766800,33631256.55751228
2017-04-26,5.855000019073486,5.994999885559082,5.827499866485596,5.912499904632568,4.8824591636657715,8846400,52171643.28289032
2017-04-27,5.917500019073486,5.927499771118164,5.760000228881836,5.775000095367432,4.7689127922058105,11881200,69445614.33992386
2017-04-28,5.772500038146973,5.772500038146973,5.617499828338623,5.672500133514404,4.684269905090332,12417200,70886690.61841965
2017-05-01,5.692500114440918,5.809999942779541,5.639999866485596,5.695000171661377,4.702850818634033,10979200,62684370.26176453
2017-05-02,5.707499980926514,5.887499809265137,5.684999942779541,5.860000133514404,4.839104652404785,7152800,41378947.76124954
2017-05-03,5.864999771118164,6.0,5.84499979019165,5.992499828338623,4.948521137237549,12509200,74124826.34124756
2017-05-04,5.994999885559082,6.034999847412109,5.882500171661377,5.892499923706055,4.865942478179932,5856000,34850519.748687744
2017-05-05,5.925000190734863,6.002500057220459,5.894999980926514,6.0,4.954714775085449,4682400,27886618.767929077
2017-05-08,6.0,6.117499828338623,5.960000038146973,6.09499979019165,5.0331645011901855,8862800,53559007.489299774
2017-05-09,6.082499980926514,6.184999942779541,6.022500038146973,6.122499942779541,5.055873394012451,7800000,47604374.81403351
2017-05-10,6.135000228881836,6.28249979019165,6.110000133514404,6.237500190734863,5.150839328765869,9637200,59666315.32716751
2017-05-11,6.277500152587891,6.327499866485596,6.059999942779541,6.087500095367432,5.026970863342285,12190800,75438194.4243908
2017-05-12,6.070000171661377,6.087500095367432,5.945000171661377,6.007500171661377,4.96090841293335,7281200,43887434.11102295
2017-05-15,6.034999847412109,6.170000076293945,6.025000095367432,6.090000152587891,5.029035568237305,8557600,52030208.36725235
2017-05-16,6.082499980926514,6.127500057220459,5.974999904632568,6.117499828338623,5.05174446105957,8138800,49448296.28429413
2017-05-17,6.117499828338623,6.117499828338623,5.9375,5.960000038146973,4.9216837882995605,8830800,53277319.57626343
2017-05-18,5.985000133514404,6.012499809265137,5.880000114440918,5.945000171661377,4.90929651260376,6992800,41646494.900131226
2017-05-19,5.949999809265137,6.077499866485596,5.894999980926514,6.054999828338623,5.000133037567139,10678400,64010332.625198364
2017-05-22,6.087500095367432,6.150000095367432,6.010000228881836,6.012499809265137,4.965036869049072,9823600,59580134.5621109
2017-05-23,6.09250020980835,6.09250020980835,5.65749979019165,5.664999961853027,4.67807674407959,22539200,132460061.96727753
2017-05-24,5.652500152587891,5.71750020980835,5.607500076293945,5.677499771118164,4.688398361206055,9792400,55461706.01363182
2017-05-25,5.900000095367432,5.917500019073486,5.682499885559082,5.90500020980835,4.876266002655029,30954000,181119594.1236019
2017-05-26,5.53000020980835,5.602499961853027,5.3125,5.554999828338623,4.587240219116211,56848000,312664000.0
2017-05-30,5.545000076293945,5.732500076293945,5.542500019073486,5.642499923706055,4.659497261047363,22719600,127584754.29167747
2017-05-31,5.659999847412109,5.675000190734863,5.472499847412109,5.534999847412109,4.570724010467529,21626000,120794724.80630875
2017-06-01,5.537499904632568,5.739999771118164,5.527500152587891,5.695000171661377,4.702850818634033,14764000,83047500.0
2017-06-02,5.682499885559082,5.695000171661377,5.587500095367432,5.667500019073486,4.680140972137451,9402000,53197691.65349007
2017-06-05,5.5625,5.642499923706055,5.489999771118164,5.619999885559082,4.720034599304199,7822800,43641444.67935562
2017-06-06,5.5625,5.590000152587891,5.472499847412109,5.474999904632568,4.598254203796387,12421600,68629339.70384598
2017-06-07,5.489999771118164,5.552499771118164,5.457499980926514,5.510000228881836,4.627650737762451,8619200,47427147.46570587
2017-06-08,5.537499904632568,5.607500076293945,5.332499980926514,5.34250020980835,4.486972332000732,14475200,78962216.62120819
2017-06-09,5.332499980926514,5.522500038146973,5.324999809265137,5.502500057220459,4.6213507652282715,11822800,64086964.91174698
2017-06-12,5.485000133514404,5.537499904632568,5.397500038146973,5.427499771118164,4.558360576629639,13127600,71701309.7492218
2017-06-13,5.445000171661377,5.542500019073486,5.392499923706055,5.494999885559082,4.615052223205566,7673600,41965000.0
2017-06-14,5.489999771118164,5.489999771118164,5.3125,5.40749979019165,4.541563510894775,9924400,53839868.34368706
2017-06-15,5.380000114440918,5.412499904632568,5.284999847412109,5.304999828338623,4.455477237701416,9284400,49630920.041656494
2017-06-16,5.28000020980835,5.292500019073486,5.125,5.147500038146973,4.323199272155762,14732000,76772135.9834671
